CPU 0 S: 2.01513671875,796.010986328125,1473.43603515625
CPU 0 E: 795.9951171875,1473.39404296875,2616.083984375
CPU 1 S: 2.02294921875,347.43896484375,685.344970703125,1339.2451171875
CPU 1 E: 347.3779296875,685.326171875,1339.220947265625,2431.3759765625
CPU 2 S: 2.027099609375,348.198974609375,686.010986328125,1361.590087890625
CPU 2 E: 348.18505859375,685.983154296875,1361.51806640625,2549.39111328125
CPU 3 S: 2.031005859375,753.9150390625,1953.3720703125
CPU 3 E: 753.902099609375,1953.31005859375,2056.718017578125
GPU S: 1.994140625,800.839111328125
GPU E: 800.779052734375,2235.4169921875
